log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
log_dt,queryid,target_database,target_table,tartet_column,source_database,source_table,source_column,column_type
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,SIGNUP_DT,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,SIGNUP_DT,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,p_eu_xchan_t,vf_final_sess_2,year_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,YEAR_ID,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,p_eu_xchan_t,vf_final_sess_2,month_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,MONTH_ID,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,p_eu_xchan_t,vf_final_sess_2,week_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,WEEK_ID,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,p_eu_xchan_t,vf_final_sess_2,event_timestamp,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,p_eu_xchan_t,vf_epn,camp_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_cmpgn_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,p_eu_xchan_t,vf_epn,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,event_timestamp,p_eu_xchan_t,vf_final_sess_2,user_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,select,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,prs_ams_v,ams_pblshr_cmpgn,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,prs_ams_v,ams_pblshr,ams_pblshr_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,p_eu_xchan_t,vf_epn,pub_id,join,
2016-06-27,163186895250512330,P_EU_XCHAN_T,SIGNUP_ePN,PUBLISHER_ID,p_eu_xchan_t,vf_epn,camp_id,join,
